YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2024,1,1,426.0,449.5,424.89,447.75,483450
2024,1,2,445.0,449.9,437.0,441.08,197802
2024,1,3,441.0,442.2,436.5,437.13,233563
2024,1,4,437.0,438.0,430.0,431.79,152811
2024,1,5,431.0,434.0,420.0,430.54,150448
2024,1,6,431.0,434.0,420.0,430.54,150448
2024,1,7,431.0,434.0,420.0,430.54,150448
2024,1,8,433.0,433.45,427.0,428.91,108916
2024,1,9,430.7,430.7,421.61,424.96,194307
2024,1,10,425.1,427.88,422.0,424.24,128903
2024,1,11,426.0,431.19,423.0,424.54,189540
2024,1,12,426.0,427.8,419.55,422.44,124866
2024,1,13,426.0,427.8,419.55,422.44,124866
2024,1,14,426.0,427.8,419.55,422.44,124866
2024,1,15,425.5,425.95,415.0,417.6,102398
2024,1,16,418.0,423.0,415.0,420.1,107196
2024,1,17,422.79,423.5,415.2,416.54,83825
2024,1,18,417.0,417.7,411.0,413.85,106852
2024,1,19,413.1,418.99,412.0,412.68,133069
2024,1,20,413.1,418.99,412.0,412.68,133069
2024,1,21,413.1,418.99,412.0,412.68,133069
2024,1,22,412.0,414.4,410.0,412.75,80208
2024,1,23,413.0,414.0,407.13,409.63,417235
2024,1,24,409.99,422.49,409.0,409.85,722358
2024,1,25,413.0,413.4,405.0,405.87,371979
2024,1,26,405.0,406.0,399.0,400.18,515669
2024,1,27,405.0,406.0,399.0,400.18,515669
2024,1,28,405.0,406.0,399.0,400.18,515669
2024,1,29,404.17,404.17,392.0,392.95,746886
2024,1,30,394.0,402.0,391.0,392.59,424273
2024,1,31,396.86,397.95,393.0,393.55,472749
