YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,6,1,403.0,409.49,403.0,407.04,447927
2023,6,2,407.0,411.25,403.01,406.92,433832
2023,6,5,409.0,409.0,404.1,406.53,173131
2023,6,6,407.9,410.5,404.0,404.53,390498
2023,6,7,407.5,419.25,407.0,414.54,743896
2023,6,8,415.5,416.0,406.99,407.45,334779
2023,6,9,408.99,418.9,407.5,415.48,323664
2023,6,12,415.01,423.05,414.0,418.76,350596
2023,6,13,417.0,421.9,409.52,410.52,201578
2023,6,14,412.0,413.9,406.01,406.96,102328
2023,6,15,409.5,410.1,401.9,407.8,239484
2023,6,16,409.0,417.48,407.25,412.4,386436
2023,6,19,412.0,412.3,395.0,398.93,333232
2023,6,20,399.01,403.5,397.0,402.43,133793
2023,6,21,404.0,404.5,395.0,397.68,154424
2023,6,22,398.0,405.9,398.0,400.55,258404
2023,6,23,401.0,402.0,396.15,397.41,111809
2023,6,26,398.11,410.3,398.11,407.89,206355
2023,6,27,408.0,408.5,402.0,403.33,199153
