YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2020,1,1,125.0,127.5,122.9,125.43,95800
2020,1,2,123.15,127.49,123.15,125.84,111600
2020,1,3,125.0,125.0,122.0,122.98,66600
2020,1,6,120.25,125.0,117.1,119.28,108600
2020,1,7,122.0,123.5,113.32,119.26,416300
2020,1,8,120.0,121.0,118.8,119.64,138700
2020,1,9,124.97,125.62,124.0,125.62,448100
2020,1,10,128.0,131.0,126.7,127.17,576900
2020,1,13,128.5,131.95,126.0,128.07,565100
2020,1,14,127.06,131.0,127.06,128.89,695800
2020,1,15,128.0,129.94,127.25,127.69,26700
2020,1,16,127.0,128.5,126.3,127.87,29800
2020,1,17,128.39,130.0,128.0,128.44,209100
2020,1,20,128.0,129.0,126.05,127.04,40400
2020,1,21,127.0,128.4,126.5,127.0,40200
2020,1,22,127.95,127.95,125.0,125.0,49500
2020,1,23,126.0,129.5,124.0,127.52,74500
2020,1,24,127.5,130.0,126.54,127.53,73100
2020,1,27,133.0,133.0,127.0,127.74,13400
2020,1,28,127.5,128.75,127.5,128.51,86900
2020,1,29,128.0,128.85,127.5,127.6,15200
2020,1,30,127.99,134.61,127.99,134.61,931500
2020,1,31,142.01,142.01,140.26,142.01,706500
2020,2,3,148.0,150.53,141.06,149.11,1597100
2020,2,4,150.0,153.5,142.1,149.2,760500
2020,2,6,152.5,158.15,150.02,155.8,487000
2020,2,7,155.0,155.75,147.51,149.1,317400
2020,2,10,149.1,149.9,140.16,142.35,419400
2020,2,11,143.7,149.0,142.5,145.37,429600
2020,2,12,149.0,152.95,147.1,151.49,324100
2020,2,13,151.0,160.0,149.94,156.68,498400
2020,2,14,156.5,157.04,152.0,155.01,616500
2020,2,17,155.01,160.62,155.0,156.99,451800
2020,2,18,159.0,159.0,146.79,148.54,321400
2020,2,19,148.99,156.09,142.01,154.22,497800
2020,2,20,155.9,156.0,152.0,153.47,89000
2020,2,21,154.1,154.1,148.0,148.83,36800
2020,2,24,146.0,146.0,139.16,139.62,328400
2020,2,25,137.5,144.37,137.5,141.2,135500
2020,2,26,140.5,141.44,137.5,139.82,74300
2020,2,27,135.52,141.99,132.0,139.8,191400
2020,2,28,140.0,141.65,139.5,140.06,243200
2020,3,2,142.79,149.86,142.79,149.86,195900
2020,3,3,153.0,157.5,153.0,153.8,415600
2020,3,4,156.0,156.0,151.0,152.81,171000
2020,3,5,154.0,157.9,153.75,154.06,244000
2020,3,6,153.99,154.0,148.5,150.55,75700
2020,3,9,143.0,147.5,140.02,146.07,318400
2020,3,10,145.45,152.5,145.45,150.81,245300
2020,3,11,152.45,153.29,149.5,149.76,194000
2020,3,12,148.5,149.0,139.4,141.09,245400
2020,3,13,139.3,146.45,139.0,145.77,141200
2020,3,16,140.0,140.0,134.84,134.84,254400
2020,3,17,130.1,134.0,128.0,130.19,273600
2020,3,18,125.01,125.01,120.43,120.43,107700
2020,3,19,111.4,113.9,111.4,111.4,159100
2020,3,20,114.2,114.2,105.01,107.01,743100
2020,3,24,98.99,98.99,98.99,98.99,15400
2020,3,25,102.0,102.0,91.6,93.19,224800
2020,3,26,97.9,100.17,92.0,100.17,249900
2020,3,27,100.2,107.68,100.2,105.96,169400
2020,3,30,101.3,108.0,101.3,107.38,338800
2020,3,31,107.9,111.9,106.05,111.14,560000
2020,4,1,110.19,119.47,109.99,119.47,247900
2020,4,2,122.9,128.43,120.0,128.28,201700
2020,4,3,131.05,133.9,120.0,122.03,241700
2020,4,6,120.5,120.5,113.35,116.58,93100
2020,4,7,113.1,116.0,113.1,115.03,144200
2020,4,8,114.85,116.79,112.8,113.55,85700
2020,4,9,115.0,122.06,115.0,122.06,80600
2020,4,10,127.0,131.21,124.25,131.21,180000
2020,4,13,134.49,139.39,131.24,134.86,257600
2020,4,14,134.85,137.7,131.9,134.45,189000
2020,4,15,134.56,137.5,134.5,136.08,184100
2020,4,16,134.0,136.0,133.0,134.31,31300
2020,4,17,137.5,144.38,137.5,144.38,184000
2020,4,20,147.94,150.99,140.0,143.48,149300
2020,4,21,140.0,140.0,132.78,134.56,73800
2020,4,22,131.75,135.0,131.5,134.31,51000
2020,4,23,135.8,136.0,128.6,132.18,33900
2020,4,24,133.0,142.09,132.0,142.09,208600
2020,4,27,145.0,145.0,133.0,134.94,145000
2020,4,28,135.0,140.99,134.89,137.45,94400
2020,4,29,141.99,147.75,140.0,147.75,188000
2020,4,30,158.0,158.0,140.5,145.85,556300
2020,5,4,145.0,147.0,141.12,146.01,270600
2020,5,5,147.0,149.0,143.0,143.62,233000
2020,5,6,143.0,146.51,142.11,145.73,211900
2020,5,7,145.5,155.75,144.5,150.31,465500
2020,5,8,152.0,154.0,146.8,147.96,152100
2020,5,11,146.0,154.5,145.5,153.67,266300
2020,5,12,153.0,153.0,150.0,152.02,222300
2020,5,13,151.0,151.7,148.5,149.57,177900
2020,5,14,150.25,150.25,147.0,149.25,127100
2020,5,15,151.69,151.69,148.45,150.17,135200
2020,5,18,151.0,153.25,147.1,148.33,422000
2020,5,19,148.8,154.5,148.5,153.54,547800
2020,5,20,151.0,153.5,149.55,150.32,218600
2020,5,21,150.0,151.88,148.1,148.49,248200
2020,5,28,148.0,151.0,145.32,149.56,238500
2020,5,29,150.0,160.77,150.0,158.93,1282000
2020,6,1,157.8,158.0,153.5,155.23,313700
2020,6,2,156.99,166.49,155.26,162.67,825400
2020,6,3,162.0,166.99,160.35,164.74,235300
2020,6,4,164.25,169.5,161.5,162.27,442100
2020,6,5,162.2,166.49,160.1,165.63,126800
2020,6,8,165.63,178.05,165.63,178.05,763500
2020,6,9,181.0,184.6,175.01,176.01,645500
2020,6,10,177.85,188.0,177.0,182.37,603400
2020,6,11,182.25,185.48,181.0,181.74,249700
2020,6,12,176.0,179.97,175.05,176.11,393700
2020,6,15,174.06,184.95,173.2,177.76,481400
2020,6,16,180.9,184.0,180.0,180.95,249600
2020,6,17,181.5,186.0,180.0,180.72,422400
2020,6,18,181.0,182.5,178.1,179.04,216800
2020,6,19,179.15,183.4,178.5,182.52,179500
2020,6,22,182.5,182.5,178.0,180.5,143200
2020,6,23,183.0,183.99,180.12,181.49,137600
2020,6,24,180.2,181.0,178.0,179.0,89900
2020,6,25,178.01,182.0,178.0,178.54,94200
2020,6,26,180.99,180.99,176.1,177.58,112500
2020,6,29,175.6,179.0,175.6,178.14,18400
2020,6,30,179.95,187.99,179.0,183.68,221600
2020,7,1,184.99,197.45,184.01,186.31,1095300
2020,7,2,185.0,193.97,184.1,187.47,463600
2020,7,3,187.0,191.0,184.25,185.57,72100
2020,7,6,187.49,190.0,185.05,186.0,176700
2020,7,7,186.11,189.0,186.1,187.71,100700
2020,7,8,186.5,194.99,186.3,189.27,787500
2020,7,9,190.1,194.6,189.0,192.59,496100
2020,7,10,192.0,199.9,191.0,197.82,479200
2020,7,13,200.0,203.0,196.0,197.1,279100
2020,7,14,197.0,200.89,192.61,193.43,158300
2020,7,15,193.44,201.0,192.0,196.64,234300
2020,7,16,196.5,197.5,194.5,194.75,105500
2020,7,17,193.0,198.08,191.0,193.2,59600
2020,7,20,192.0,196.8,191.3,192.39,189100
2020,7,21,192.0,193.1,191.4,192.08,106100
2020,7,22,192.09,206.48,189.0,199.06,426800
2020,7,23,202.51,213.98,199.5,200.13,748300
2020,7,24,197.01,202.0,194.0,199.25,269600
2020,7,27,200.0,213.0,200.0,209.77,541600
2020,7,28,209.98,213.0,207.0,208.0,181500
2020,7,29,208.0,212.0,206.51,210.56,296200
2020,7,30,212.8,214.0,208.51,209.34,163000
2020,8,3,210.0,212.08,206.0,207.96,183100
2020,8,4,207.1,208.5,196.0,197.5,260900
2020,8,5,197.5,198.99,195.51,197.71,98100
2020,8,6,197.01,206.0,196.75,197.95,209300
2020,8,7,197.9,201.0,196.16,198.43,104000
2020,8,10,198.9,200.0,195.5,195.94,53300
