YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2024,2,1,395.0,397.24,393.94,395.39,190689
2024,2,2,395.5,399.0,395.5,397.5,215477
2024,2,6,397.95,397.95,393.45,394.14,166267
2024,2,7,395.8,397.33,394.15,395.1,366814
2024,2,9,390.5,394.5,370.0,389.77,369837
2024,2,12,389.8,390.0,375.1,381.14,337292
2024,2,13,380.0,386.0,374.0,380.18,368017
2024,2,14,381.0,396.0,381.0,389.99,509549
2024,2,15,391.0,394.5,379.01,382.05,297485
2024,2,16,377.0,379.94,368.0,370.87,403248
2024,2,19,365.0,377.98,361.0,370.86,281412
2024,2,20,374.9,381.5,373.0,379.31,467081
2024,2,21,383.0,389.82,382.06,387.37,650265
2024,2,22,390.0,416.42,389.9,410.4,1406023
2024,2,23,412.0,412.0,402.01,408.62,255195
2024,2,26,408.63,419.99,408.63,414.18,471070
2024,2,27,417.0,422.49,410.1,413.51,729056
2024,2,28,410.2,414.0,407.5,408.6,288819
2024,2,29,408.6,412.5,408.0,409.98,243296
