YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,3,1,478.99,481.0,468.1,476.91,526911
2023,3,2,478.89,484.0,471.5,473.04,412386
2023,3,3,473.0,484.85,470.11,483.06,492129
2023,3,6,486.0,489.97,482.22,483.92,362806
2023,3,7,484.01,487.52,481.06,485.68,229153
2023,3,8,487.5,491.0,486.86,487.29,181600
2023,3,9,488.9,491.0,486.0,487.03,260659
2023,3,10,487.1,493.99,481.0,492.53,382764
2023,3,13,495.7,499.0,492.0,492.28,408102
2023,3,14,492.21,497.0,492.0,494.51,286178
2023,3,15,492.11,495.95,484.0,489.22,337970
2023,3,16,488.9,492.44,483.6,484.63,426471
2023,3,17,484.63,489.0,459.59,466.25,4075478
2023,3,20,468.9,473.99,467.9,470.87,232295
2023,3,21,472.98,473.0,468.0,469.61,194626
2023,3,22,470.0,471.49,462.1,463.15,176961
2023,3,24,467.5,467.5,456.0,457.65,84304
2023,3,27,459.88,468.0,459.0,467.17,147167
2023,3,28,468.0,469.0,464.15,465.91,90317
2023,3,29,466.01,469.0,462.3,463.23,128805
2023,3,30,463.24,464.75,460.0,462.22,163329
2023,3,31,464.0,464.0,461.0,462.06,148918
