YEAR,MONTH,DAY,OPEN,HIGH,LOW,CLOSE,VOLUME
2023,10,2,395.98,409.8,395.98,408.43,618214
2023,10,3,410.0,413.27,405.02,406.31,185222
2023,10,4,409.0,409.0,401.6,402.38,219308
2023,10,5,405.0,406.95,401.2,402.14,139138
2023,10,6,405.8,409.99,403.0,406.38,384101
2023,10,9,406.38,408.49,402.0,405.17,99388
2023,10,10,406.02,408.6,403.5,404.27,174246
2023,10,11,407.26,415.8,402.5,405.16,837964
2023,10,12,407.85,410.0,404.51,408.17,683208
2023,10,13,411.0,414.5,407.8,409.44,698323
2023,10,16,410.01,414.87,405.0,412.76,715217
2023,10,17,412.5,414.87,407.0,409.29,550269
2023,10,18,409.51,417.5,408.4,411.7,455288
2023,10,19,412.5,417.5,412.0,415.91,378684
2023,10,20,417.0,424.0,413.82,418.19,544969
2023,10,23,419.98,422.0,415.0,415.49,190079
2023,10,24,417.95,417.95,411.51,414.09,151364
2023,10,25,414.0,434.89,410.5,431.57,1715238
2023,10,26,434.57,436.0,428.0,432.07,1084532
2023,10,27,425.96,432.0,409.22,413.9,899215
2023,10,30,410.05,414.49,409.32,410.39,353639
2023,10,31,413.5,419.45,410.02,415.01,357346
